t_ms,ax_mps2,ay_mps2,az_mps2
6956,0.3530,-0.7061,9.7674
6976,0.2746,-0.7845,9.7282
6996,0.3138,-0.6276,9.7674
7016,0.3530,-0.8238,9.9636
7036,0.3138,-0.8630,9.8459
7056,0.3138,-0.6669,9.8459
7076,0.2746,-0.7845,9.8459
7096,0.3138,-0.6276,9.7674
7116,0.3138,-0.7061,9.9243
7136,0.2746,-0.6669,9.8851
7156,0.3530,-0.7061,9.8851
7176,0.2746,-0.7453,9.8851
7196,0.2746,-0.7845,9.8459
7216,0.3138,-0.6276,9.8459
7236,0.2746,-0.7453,9.8459
7256,0.2746,-0.7061,9.8459
7276,0.3138,-0.6669,9.8459
7296,0.2746,-0.7061,9.7674
7316,0.3138,-0.7061,9.9243
7336,0.2746,-0.8630,9.9636
7356,0.2746,-0.6669,9.9243
7376,0.2746,-0.7061,9.8067
7396,0.3138,-0.7845,9.8851
7416,0.2746,-0.6276,9.7674
7436,0.3138,-0.7453,9.7674
7456,0.2746,-0.6669,9.6890
7476,0.3530,-0.8238,9.7674
7496,0.2746,-0.6276,9.7282
7516,0.3530,-0.7061,9.6497
7536,0.3138,-0.7061,9.7674
7556,0.3530,-0.6669,9.7674
7576,0.3138,-0.8630,9.8459
7596,0.2354,-0.7061,9.9243
7616,0.3138,-0.6669,9.8459
7636,0.2354,-0.9022,10.0812
7656,0.2354,-0.7453,9.8851
7676,0.2746,-0.8238,9.8851
7696,0.3138,-0.8238,9.9636
7716,0.2746,-0.6669,9.8459
7736,0.2354,-0.7845,9.9636
7756,0.2746,-0.6669,9.8067
7776,0.3138,-0.6276,9.9243
7796,0.2746,-0.8630,9.9636
7816,0.2746,-0.6669,9.8067
7836,0.3530,-0.7453,9.8459
7856,0.2746,-0.8238,9.8067
7876,0.3530,-0.6669,9.8459
7896,0.3138,-0.7845,9.8851
7916,0.2746,-0.7453,9.8459
7936,0.3530,-0.7453,9.8459
7956,0.2746,-0.8630,9.8459
7976,0.2746,-0.7453,9.8851
7996,0.3530,-0.7453,9.8851
8016,0.2746,-0.7845,9.7282
8036,0.3923,-0.7061,9.8459
8056,0.3923,-0.8238,9.7282
8076,0.2746,-0.7061,9.8851
8096,0.4315,-0.7453,9.8851
8116,0.3138,-0.7453,9.7282
8136,0.3530,-0.6669,9.8851
8156,0.2746,-0.7061,9.8067
8176,0.3138,-0.7061,9.8067
8196,0.3138,-0.7845,9.8851
8216,0.2354,-0.7453,9.7674
8236,0.2746,-0.7845,9.9243
8256,0.2746,-0.8238,9.9636
8276,0.2746,-0.7061,9.7282
8296,0.3138,-0.6669,9.9243
8316,0.3138,-0.7845,9.8851
8336,0.3138,-0.7453,9.7674
8356,0.2746,-0.7453,9.8459
8376,0.3138,-0.6276,9.8459
8396,0.2746,-0.7453,9.8067
8416,0.3138,-0.8238,9.8459
8436,0.2354,-0.6276,9.8067
8456,0.3530,-0.6669,9.8459
8476,0.3530,-0.7453,9.8067
8496,0.2746,-0.7061,9.8851
8516,0.3138,-0.7845,9.8851
8536,0.3138,-0.6669,9.8459
8556,0.3138,-0.7061,9.9636
8576,0.3138,-0.8238,9.9243
8596,0.3530,-0.7061,9.8067
8616,0.2354,-0.7453,9.8459
8636,0.1961,-0.7061,9.8067
8656,0.3138,-0.7061,9.8459
8676,0.3530,-0.7845,9.8459
8696,0.2746,-0.7061,9.8851
8716,0.3530,-0.7453,9.8851
8736,0.2354,-0.7453,9.7282
8756,0.2354,-0.6669,9.8851
8776,0.3530,-0.8630,9.8851
8796,0.3530,-0.7845,9.8067
8816,0.3138,-0.7453,9.8459
8836,0.3138,-0.7845,9.8067
8856,0.3138,-0.6669,9.8067
8876,0.3530,-0.7845,9.9243
8896,0.3138,-0.8238,9.8459
8916,0.3530,-0.6669,9.8851
8936,0.3530,-0.7845,9.9243
8956,0.2354,-0.7845,9.8459
8976,0.3530,-0.7061,9.8067
8996,0.2354,-0.8630,9.8067
9016,0.3138,-0.6669,9.8067
9036,0.3138,-0.7845,9.9243
9056,0.1961,-0.7061,9.7282
9076,0.2746,-0.7453,9.8459
9096,0.3138,-0.8630,9.7674
9116,0.2354,-0.7453,9.6890
9136,0.3923,-0.8630,9.7674
9156,0.3138,-0.6669,9.8067
9176,0.3138,-0.7061,9.8851
9196,0.2746,-0.8630,9.8851
9216,0.2746,-0.7845,9.7674
9236,0.2746,-0.8630,9.8459
9256,0.3138,-0.7845,9.8067
9276,0.3530,-0.5884,9.8067
9296,0.2746,-0.7845,9.8067
9316,0.3530,-0.7061,9.8459
9336,0.3138,-0.7453,9.8067
9356,0.3138,-0.8238,9.8459
9376,0.3138,-0.7845,9.9636
9396,0.2746,-0.7061,9.8851
9416,0.1961,-0.6669,9.7674
9436,0.3138,-0.7453,9.8851
9456,0.3138,-0.7845,9.8459
9476,0.3138,-0.6669,9.7674
9496,0.2746,-0.8238,9.9636
9516,0.3138,-0.6669,9.7674
9536,0.2746,-0.7453,9.8459
9556,0.3530,-0.8630,9.8459
9576,0.2354,-0.5492,9.8459
9596,0.3138,-0.7845,9.8459
9616,0.2746,-0.7453,9.8067
9636,0.3923,-0.7453,9.8459
9656,0.3923,-0.7845,9.9243
9676,0.2746,-0.7061,9.8067
9696,0.3138,-0.7845,9.9243
9716,0.3138,-0.7845,9.9243
9736,0.3138,-0.7453,10.0028
9756,0.2746,-0.7845,9.9243
9776,0.2746,-0.7453,9.7674
9796,0.2746,-0.6276,9.8459
9816,0.2746,-0.8238,9.9243
9836,0.3138,-0.7453,9.9636
9856,0.2746,-0.7061,9.8851
9876,0.2746,-0.8630,9.7674
9896,0.2354,-0.6669,9.7674
9916,0.3923,-0.7845,9.9243
9936,0.2746,-0.7845,9.9243
9956,0.2354,-0.7845,9.9636
