t_ms,ax_mps2,ay_mps2,az_mps2
36,0.7061,-0.3923,9.7674
56,0.7061,-0.4315,9.8067
76,0.6669,-0.4707,9.8067
96,0.6669,-0.4707,9.8067
116,0.6669,-0.3923,9.7674
136,0.6669,-0.4315,9.7674
156,0.6276,-0.3923,9.8067
176,0.7061,-0.4707,9.8851
196,0.7453,-0.5099,9.8067
216,0.7453,-0.4707,9.7674
236,0.7061,-0.4315,9.7674
256,0.7061,-0.4707,9.7674
276,0.6669,-0.4315,9.8067
296,0.6276,-0.5099,9.8067
316,0.6669,-0.4315,9.8459
336,0.7061,-0.5492,9.8459
356,0.7453,-0.5099,9.8067
376,0.6669,-0.4707,9.8067
396,0.6669,-0.5099,9.8067
416,0.6669,-0.4707,9.8459
436,0.6669,-0.4707,9.7674
456,0.6669,-0.4707,9.8067
476,0.6669,-0.5099,9.8851
496,0.6669,-0.5099,9.8459
516,0.6669,-0.4315,9.7674
536,0.7061,-0.4707,9.7282
556,0.7061,-0.4707,9.8067
576,0.6669,-0.4315,9.8067
596,0.7061,-0.5099,9.8067
616,0.6669,-0.5099,9.8459
636,0.6669,-0.5099,9.8459
656,0.7061,-0.4707,9.8067
676,0.6669,-0.4707,9.8459
696,0.7061,-0.4707,9.8851
716,0.7061,-0.5099,9.8067
736,0.6669,-0.4707,9.8459
756,0.6669,-0.5099,9.8851
776,0.6669,-0.5099,9.8067
796,0.6276,-0.5099,9.8067
816,0.6669,-0.4707,9.8067
836,0.6669,-0.5099,9.7674
856,0.6669,-0.4315,9.7674
876,0.6669,-0.4707,9.8851
896,0.7061,-0.3923,9.7282
916,0.7061,-0.4707,9.8067
936,0.6669,-0.5099,9.8459
956,0.6276,-0.5099,9.8067
976,0.6276,-0.5492,9.8459
996,0.6276,-0.5099,9.8459
1016,0.6669,-0.4707,9.8067
1036,0.7061,-0.4315,9.7674
1056,0.7061,-0.5099,9.7674
1076,0.7061,-0.4707,9.8067
1096,0.6669,-0.4707,9.8459
1116,0.6669,-0.5492,9.7674
1136,0.6669,-0.5099,9.8067
1156,0.6276,-0.4315,9.8067
1176,0.6669,-0.4707,9.8067
1196,0.7061,-0.4707,9.8067
1216,0.7061,-0.4707,9.8459
1236,0.6669,-0.4707,9.7674
1256,0.6669,-0.4707,9.8067
1276,0.6669,-0.4707,9.8067
1296,0.6669,-0.4315,9.8067
1316,0.7061,-0.4707,9.8459
1336,0.7061,-0.4707,9.7674
1356,0.6669,-0.5099,9.7674
1376,0.7061,-0.4707,9.8067
1396,0.6669,-0.5099,9.8067
1416,0.6669,-0.4707,9.8067
1436,0.6669,-0.4707,9.8067
1456,0.6669,-0.4707,9.7674
1476,0.6276,-0.4707,9.7674
1496,0.6276,-0.5099,9.8067
1516,0.6669,-0.4707,9.8067
1536,0.7061,-0.5099,9.7674
1556,0.7061,-0.5492,9.8459
1576,0.7061,-0.4707,9.8067
1596,0.6669,-0.4315,9.7674
1616,0.6276,-0.4707,9.8067
1636,0.7061,-0.5099,9.8067
1656,0.6669,-0.5099,9.8067
1676,0.6669,-0.5492,9.7674
1696,0.6669,-0.5099,9.8067
1716,0.6669,-0.4707,9.7674
1736,0.7061,-0.4315,9.7674
1756,0.6669,-0.4315,9.7282
1776,0.7061,-0.4707,9.8067
1796,0.6669,-0.6276,9.8851
1816,0.6276,-0.5884,9.8851
1836,0.5884,-0.5099,9.8851
1856,0.5884,-0.4707,9.8067
1876,0.6276,-0.3923,9.8067
1896,0.6669,-0.4315,9.7674
1916,0.7061,-0.5099,9.7674
1936,0.7061,-0.5492,9.8067
1956,0.6669,-0.5492,9.8067
1976,0.6669,-0.5492,9.8851
1996,0.6276,-0.5492,9.5713
2016,0.6276,-0.4707,9.7674
2036,0.5884,-0.4707,9.9243
2056,0.7061,-0.5099,9.8459
2076,0.6669,-0.4707,9.8459
2096,0.6669,-0.4315,9.7674
2116,0.7061,-0.5099,9.7674
2136,0.7061,-0.5884,9.8067
2156,0.6669,-0.5492,9.8067
2176,0.6276,-0.5099,9.7674
2196,0.6669,-0.5884,9.7674
2216,0.7061,-0.5099,9.8067
2236,0.6276,-0.4315,9.8067
2256,0.6669,-0.4707,9.7674
2276,0.6669,-0.5099,9.7674
2296,0.6669,-0.5099,9.7674
2316,0.6669,-0.5492,9.8067
2336,0.6276,-0.5099,9.8459
2356,0.6669,-0.4707,9.8459
2376,0.6669,-0.5099,9.8067
2396,0.6669,-0.4707,9.8067
2416,0.6669,-0.5099,9.8459
2436,0.6276,-0.5099,9.8459
2456,0.6669,-0.5492,9.8067
2476,0.6276,-0.5099,9.8067
2496,0.6669,-0.5099,9.8067
2516,0.7453,-0.5492,9.8851
2536,0.6276,-0.4707,9.8459
2556,0.6669,-0.5492,9.8067
2576,0.6276,-0.4707,9.8067
2596,0.6276,-0.4707,9.7674
2616,0.6276,-0.5099,9.8459
2636,0.6276,-0.5099,9.7674
2656,0.6669,-0.4707,9.8067
2676,0.6276,-0.5099,9.7674
2696,0.6276,-0.5099,9.7674
2716,0.6276,-0.5099,9.7674
2736,0.6669,-0.5099,9.8067
2756,0.6276,-0.4707,9.7674
2776,0.6669,-0.5099,9.8067
2796,0.6669,-0.4707,9.8067
2816,0.6669,-0.5099,9.8067
2836,0.6669,-0.5492,9.8459
2856,0.6276,-0.4707,9.8459
2876,0.6669,-0.5099,9.7674
2896,0.7061,-0.5492,9.8067
2916,0.6669,-0.5099,9.8067
2936,0.6669,-0.5492,9.8067
2956,0.6669,-0.5492,9.7674
2976,0.6669,-0.5099,9.7674
2996,0.6669,-0.5099,9.7282
3016,0.6669,-0.5492,9.8067
3036,0.6669,-0.5492,9.8067
3056,0.6669,-0.5099,9.8851
3076,0.6669,-0.5492,9.7674
3096,0.7061,-0.4707,9.7674
3116,0.7061,-0.5492,9.8067
3136,0.6669,-0.5099,9.8459
3156,0.6669,-0.5099,9.7674
3176,0.6276,-0.5099,9.9636
3196,0.6276,-0.5492,9.8459
3216,0.6276,-0.5492,9.8459
3236,0.5884,-0.3923,9.8459
3256,0.5884,-0.4707,9.7674
3276,0.6669,-0.5492,9.8067
3296,0.6669,-0.5099,9.8067
3316,0.6276,-0.4707,9.7282
3336,0.7061,-0.5099,9.8459
3356,0.6669,-0.4707,9.7674
3376,0.6669,-0.4707,9.8067
3396,0.6669,-0.5492,9.8459
3416,0.7061,-0.4707,9.8459
3436,0.6276,-0.5099,9.7282
3456,0.7061,-0.5099,9.8067
3476,0.6669,-0.5099,9.8067
3496,0.6276,-0.4707,9.8459
3516,0.6276,-0.4707,9.8459
3536,0.6669,-0.5099,9.8067
3556,0.6669,-0.5492,9.8459
3576,0.5884,-0.5099,9.8067
3596,0.6276,-0.5099,9.8459
3616,0.6669,-0.4707,9.7674
3636,0.6669,-0.4315,9.7674
