t_ms,ax_mps2,ay_mps2,az_mps2
1016,0.4315,-0.5492,9.7674
1036,0.3923,-0.5884,9.8067
1056,0.4315,-0.6276,9.7674
1076,0.3923,-0.5884,9.8459
1096,0.4315,-0.5884,9.8067
1116,0.3923,-0.5884,9.8067
1136,0.4315,-0.5884,9.7674
1156,0.3923,-0.5884,9.8067
1176,0.3923,-0.6276,9.7674
1196,0.4707,-0.6276,9.7282
1216,0.3923,-0.5492,9.7282
1236,0.3923,-0.5884,9.7282
1256,0.4315,-0.6276,9.7282
1276,0.3923,-0.5492,9.7282
1296,0.3923,-0.5884,9.7282
1316,0.3923,-0.5884,9.7674
1336,0.3923,-0.5884,9.7282
1356,0.4315,-0.5492,9.7282
1376,0.4315,-0.5884,9.7674
1396,0.3530,-0.5884,9.8459
1416,0.4315,-0.5884,9.7282
1436,0.3923,-0.5884,9.7674
1456,0.4315,-0.6276,9.7282
1476,0.4315,-0.5492,9.7674
1496,0.3923,-0.5884,9.8067
1516,0.4315,-0.5884,9.8459
1536,0.3923,-0.5492,9.7674
1556,0.4707,-0.6276,9.7674
1576,0.4315,-0.5492,9.7674
1596,0.4315,-0.5884,9.7282
1616,0.4315,-0.5884,9.8067
1636,0.3923,-0.5884,9.7674
1656,0.3923,-0.5884,9.7674
1676,0.4315,-0.5884,9.8067
1696,0.3923,-0.5884,9.7674
1716,0.3923,-0.5492,9.7282
1736,0.4315,-0.5884,9.7282
1756,0.4707,-0.6276,9.7674
1776,0.4315,-0.5884,9.8067
1796,0.3923,-0.5492,9.7674
1816,0.4315,-0.6276,9.7282
1836,0.3923,-0.6276,9.7674
1856,0.3923,-0.5884,9.8067
1876,0.3923,-0.5492,9.7674
1896,0.3530,-0.5492,9.7674
1916,0.4315,-0.5492,9.8067
1936,0.3923,-0.5884,9.8067
1956,0.3923,-0.5884,9.7674
1976,0.3923,-0.5884,9.8067
1996,0.4315,-0.5492,9.7282
2016,0.4315,-0.5884,9.6890
2036,0.4315,-0.5492,9.7674
2056,0.4315,-0.5884,9.7282
2076,0.3923,-0.5884,9.7282
2096,0.3923,-0.5884,9.7674
2116,0.4315,-0.5884,9.7674
2136,0.4315,-0.5884,9.7674
2156,0.3530,-0.5492,9.7674
2176,0.4315,-0.5884,9.7674
2196,0.4315,-0.6276,9.7282
2216,0.4315,-0.6276,9.7282
2236,0.3530,-0.6276,9.7282
2256,0.3923,-0.5492,9.7674
2276,0.3923,-0.5884,9.7674
2296,0.3923,-0.5884,9.6890
2316,0.4315,-0.5492,9.7674
2336,0.3530,-0.5884,9.7674
2356,0.4315,-0.6276,9.7674
2376,0.3923,-0.6276,9.6890
2396,0.3923,-0.7061,9.8067
2416,0.4315,-0.5884,9.8067
2436,0.4315,-0.6276,9.7674
2456,0.3923,-0.5884,9.7674
2476,0.3530,-0.5492,9.7674
2496,0.4315,-0.5884,9.8067
2516,0.4315,-0.6276,9.7282
2536,0.4315,-0.5884,9.7674
2556,0.3923,-0.5884,9.7282
2576,0.4315,-0.5884,9.7674
2596,0.4707,-0.5492,9.8067
2616,0.4315,-0.5884,9.7674
2636,0.3923,-0.5884,9.7674
2656,0.4315,-0.5492,9.7282
2676,0.4315,-0.6276,9.7674
2696,0.4315,-0.5884,9.7674
2716,0.4707,-0.6276,9.7282
2736,0.4315,-0.6276,9.7674
2756,0.4315,-0.5884,9.7674
2776,0.4315,-0.5492,9.7674
2796,0.3923,-0.5492,9.7674
2816,0.3923,-0.5884,9.7282
2836,0.3923,-0.6276,9.7674
2856,0.4315,-0.5884,9.8067
2876,0.3923,-0.5492,9.7674
2896,0.4315,-0.5884,9.7674
2916,0.3923,-0.6276,9.7674
2936,0.4315,-0.6276,9.8067
2956,0.3923,-0.5884,9.7674
2976,0.3923,-0.6276,9.7674
2996,0.4315,-0.6276,9.7674
3016,0.3923,-0.5884,9.7674
3036,0.3923,-0.6276,9.7674
3056,0.3923,-0.5884,9.7282
3076,0.3923,-0.5492,9.7674
3096,0.3923,-0.5884,9.7282
3116,0.4315,-0.6276,9.7674
3136,0.3923,-0.5884,9.7674
3156,0.4315,-0.5884,9.8067
3176,0.4315,-0.5884,9.8067
3196,0.3923,-0.5884,9.7674
3216,0.4315,-0.6276,9.7674
3236,0.4707,-0.6276,9.8067
3256,0.3923,-0.5884,9.7674
3276,0.4315,-0.6276,9.8067
3296,0.3923,-0.5492,9.7282
3316,0.3923,-0.6276,9.7674
3336,0.4707,-0.6276,9.7674
3356,0.4707,-0.6276,9.7674
3376,0.3923,-0.5492,9.8067
3396,0.4315,-0.5884,9.7674
3416,0.4315,-0.6276,9.8067
3436,0.4315,-0.5884,9.7674
3456,0.4315,-0.5884,9.8067
3476,0.4315,-0.6276,9.7674
3496,0.4315,-0.5884,9.8067
3516,0.4315,-0.5884,9.7674
3536,0.4315,-0.5884,9.8067
3556,0.4315,-0.5884,9.7674
3576,0.4315,-0.6276,9.7674
3596,0.4315,-0.6276,9.7282
3616,0.4315,-0.5884,9.7282
3636,0.3923,-0.5492,9.7674
3656,0.4315,-0.5884,9.7282
3676,0.3923,-0.5884,9.8067
3696,0.4315,-0.5884,9.7674
3716,0.3923,-0.5884,9.8459
3736,0.3923,-0.5492,9.7674
3756,0.4315,-0.5492,9.7674
3776,0.3923,-0.5884,9.8067
3796,0.3923,-0.5492,9.7674
3816,0.3923,-0.5884,9.7674
3836,0.3923,-0.6276,9.7674
3856,0.3923,-0.6276,9.8067
3876,0.3923,-0.5492,9.7674
3896,0.3923,-0.5492,9.7674
3916,0.4315,-0.6276,9.7674
3936,0.3923,-0.5884,9.7674
3956,0.4315,-0.5884,9.7674
3976,0.4315,-0.5884,9.7674
3996,0.3923,-0.5492,9.8067
4016,0.4315,-0.5884,9.8067
4036,0.4315,-0.5884,9.8067
4056,0.4315,-0.6276,9.7674
4076,0.3923,-0.5884,9.7674
4096,0.3923,-0.5884,9.7674
4116,0.4707,-0.5884,9.7674
4136,0.4315,-0.6276,9.8067
4156,0.3923,-0.6276,9.7674
4176,0.3923,-0.5884,9.8067
4196,0.4315,-0.5492,9.7282
4216,0.3923,-0.5884,9.7674
4236,0.3923,-0.5884,9.8067
4256,0.4315,-0.5884,9.7674
4276,0.3923,-0.5884,9.7674
4296,0.3530,-0.5884,9.7674
4316,0.4315,-0.5884,9.8067
4336,0.4315,-0.6276,9.7674
