t_ms,ax_mps2,ay_mps2,az_mps2
36,-0.1569,-0.5492,9.5713
56,0.1569,-0.5492,10.0028
76,0.0000,-0.7061,9.6105
96,-0.2746,-0.5492,10.0420
116,0.4315,-0.7061,9.9636
136,-0.0785,-0.6669,9.4928
156,-0.1569,-0.3530,10.1989
176,0.4315,-0.5099,9.0221
196,-0.1569,-0.4315,9.8459
216,0.1961,-0.2746,10.0028
236,0.3138,-0.5884,9.1398
256,-0.1177,-0.5099,10.6304
276,-0.1569,-0.6276,9.9636
296,0.0785,-0.5884,9.1006
316,0.1569,-0.7061,10.4735
336,-0.1177,-0.4707,9.2183
356,0.1569,-0.4707,9.9636
376,0.1961,-0.8630,9.7282
396,-0.3138,-0.3923,9.6497
416,0.3138,-0.6669,9.8851
436,0.0392,-0.6669,9.1398
456,-0.2354,-0.5492,10.5912
476,0.2746,-0.8238,9.5321
496,-0.0392,-0.5884,9.1006
516,-0.1569,-0.5884,10.5912
536,0.3530,-0.5884,9.1006
556,0.0785,-0.2354,9.4928
576,-0.0392,-0.6669,10.4735
596,0.1177,-0.5884,8.7083
616,0.1961,-0.4315,10.2381
636,0.0000,-0.7061,9.6890
656,0.1177,-0.4315,9.1398
676,0.1569,-0.7453,10.5912
696,-0.1569,-0.5099,9.6890
716,0.1569,-0.5492,10.2381
736,0.1177,-0.6276,9.8459
756,-0.1177,-0.3530,9.4928
776,0.3138,-0.5099,10.1205
796,-0.0392,-0.6276,9.1790
816,-0.2746,-0.6669,9.8851
836,0.2354,-0.6669,9.5321
856,-0.0785,-0.4707,9.8851
876,0.0392,-0.5884,10.1989
896,0.1961,-0.6669,9.0613
916,-0.1177,-0.3530,10.7481
936,0.1569,-0.8238,8.9044
956,-0.1569,-0.3138,9.7674
976,0.1569,-0.6276,10.7481
996,0.0785,-0.4315,8.3553
1016,-0.0785,-0.3530,10.3950
1036,0.1569,-0.6276,9.7282
1056,-0.2354,-0.4315,9.8067
1076,0.3138,-0.6276,10.0812
1096,0.0785,-0.4707,9.3359
1116,-0.2746,-0.4707,9.8459
1136,-0.1569,-1.0199,9.7674
1156,0.0392,-0.4315,10.0420
1176,0.1177,-0.5884,10.7481
1196,-0.0785,-0.4707,8.9437
1216,0.1569,-0.3138,9.4536
1236,0.0785,-0.5884,9.8067
1256,0.0785,-0.5099,9.4928
1276,0.1177,-0.4707,10.3166
1296,-0.0392,-1.0591,8.8652
1316,0.0392,-0.5099,10.1597
1336,0.3530,-0.7061,9.9243
1356,-0.0785,-0.7061,9.8459
1376,0.0392,-0.7453,10.7481
1396,0.3138,-0.5884,9.2575
1416,-0.2354,-0.5884,9.0221
1436,0.0785,-0.8630,10.4735
1456,0.2746,-0.5884,9.0613
1476,-0.2354,-0.6669,10.3950
1496,0.1569,-0.7453,8.9437
1516,0.5099,-0.3530,8.9437
1536,-0.0392,-0.7061,10.9442
1556,0.1961,-0.9414,8.7475
1576,0.0000,-0.4315,10.0812
1596,-0.0392,-0.5884,9.8067
1616,0.0392,-0.3530,9.1790
1636,0.1569,-0.6276,10.3950
1656,-0.1569,-0.5099,9.1006
1676,0.1569,-0.3923,9.9243
1696,-0.0392,-0.8238,9.9243
1716,-0.1177,-0.3923,9.6890
1736,0.4315,-0.6669,10.3166
1756,0.1177,-0.4315,9.1006
1776,-0.2354,-0.3923,9.9243
1796,0.1961,-0.7845,9.9243
1816,-0.0392,-0.4315,9.1790
1836,-0.0392,-0.5099,10.6304
1856,0.3138,-0.5884,9.4536
1876,0.0000,-0.2746,10.0420
1896,0.0000,-0.7061,10.4735
1916,0.0392,-0.3530,8.9829
1936,0.2354,-0.4315,9.8067
1956,-0.1569,-0.5099,10.6696
1976,0.0785,-0.1177,9.5713
1996,0.3923,-0.5492,9.7282
2016,-0.0785,-0.3138,9.7674
2036,0.1177,-0.1961,10.1597
2056,0.1961,-0.8630,9.8851
2076,-0.3138,-0.3530,9.6890
2096,0.3138,-0.6669,10.5912
2116,-0.0392,-0.5492,8.7083
2136,0.2354,-0.1177,9.5713
2156,0.1177,-0.7453,10.0028
2176,-0.1961,-0.5884,9.6105
2196,0.0785,-0.7061,9.9636
2216,0.1569,-0.4315,9.8851
2236,-0.0392,-0.2354,9.6497
2256,-0.0392,-0.6669,9.8851
2276,0.0785,-0.5884,9.5321
2296,0.0392,-0.4707,10.4735
2316,-0.0785,-0.8630,9.8459
2336,0.0392,0.0000,10.1205
2356,0.4707,-0.7061,9.3752
2376,-0.0785,-0.3530,8.9829
2396,0.1961,-0.5099,10.4343
2416,0.2746,-0.8238,9.4928
2436,-0.1961,-0.6276,9.6890
2456,0.0785,-0.5099,10.5520
2476,0.0392,-0.6669,9.1398
2496,0.0392,-0.5099,10.0028
