t_ms,ax_mps2,ay_mps2,az_mps2
1036,0.4315,-0.5099,9.7674
1056,0.2746,-0.7845,10.0028
1076,0.3530,-0.6276,9.5321
1096,0.3138,-0.5884,10.0812
1116,0.3138,-0.8630,9.8459
1136,0.3138,-0.4707,9.7674
1156,0.3530,-0.5099,10.1597
1176,0.3923,-0.7061,9.6105
1196,0.2746,-0.6276,9.9636
1216,0.3138,-0.8238,9.8067
1236,0.3138,-0.5099,9.5321
1256,0.3138,-0.7061,10.0420
1276,0.3923,-0.7845,9.6497
1296,0.3530,-0.3530,9.8067
1316,0.3530,-0.7061,9.9243
1336,0.4315,-0.7061,9.4536
1356,0.2746,-0.6669,10.0812
1376,0.3923,-0.7453,9.7674
1396,0.3138,-0.5884,9.9243
1416,0.3923,-0.7453,10.2381
1436,0.3530,-0.7061,9.5321
1456,0.2746,-0.4707,9.9636
1476,0.3923,-0.9022,9.7674
1496,0.3530,-0.7845,9.7282
1516,0.3923,-0.5099,10.1205
1536,0.3530,-0.6669,9.6105
1556,0.3138,-0.5884,10.0028
1576,0.3530,-0.7845,9.8459
1596,0.3138,-0.6669,9.4928
1616,0.3138,-0.6276,10.1597
1636,0.3138,-0.9022,9.8067
1656,0.2746,-0.5492,9.8459
1676,0.3530,-0.5492,10.0028
1696,0.3923,-0.7453,9.4928
1716,0.2746,-0.7061,10.0420
1736,0.3530,-0.8238,9.7674
1756,0.2746,-0.5099,9.6890
1776,0.2746,-0.8630,9.6497
1796,0.4315,-0.7453,9.5713
1816,0.3138,-0.4315,9.9243
1836,0.4315,-0.8238,9.5713
1856,0.3530,-0.7845,10.0812
1876,0.3530,-0.6669,9.9636
1896,0.3923,-0.6669,9.3359
1916,0.2354,-0.7453,10.0420
1936,0.3923,-0.9414,9.5321
1956,0.3530,-0.3923,9.8459
1976,0.3530,-0.6669,10.0028
1996,0.3923,-0.7845,9.5713
2016,0.3530,-0.5099,9.8459
2036,0.3923,-0.7061,9.7282
2056,0.3138,-0.7061,9.6497
2076,0.2746,-0.7845,10.0812
2096,0.3923,-0.5884,9.6497
2116,0.3138,-0.5099,9.9636
2136,0.3923,-0.8630,9.9636
2156,0.3138,-0.7061,9.6497
2176,0.3530,-0.5884,10.0028
2196,0.3138,-0.8238,9.6890
2216,0.3530,-0.5884,9.8851
2236,0.3530,-0.7061,10.0028
2256,0.2746,-0.5884,9.6105
2276,0.3923,-0.5884,9.9636
2296,0.3530,-0.8238,9.6890
2316,0.3530,-0.5099,9.6105
2336,0.3138,-0.7453,10.0028
2356,0.3530,-0.7845,9.5321
2376,0.3138,-0.5492,10.0420
2396,0.3923,-0.5884,9.8851
2416,0.3530,-0.5492,9.6890
2436,0.3530,-0.9414,10.0420
2456,0.3530,-0.7845,9.4928
2476,0.3530,-0.4315,9.9636
2496,0.2746,-0.8238,9.9636
2516,0.3530,-0.6669,9.5321
2536,0.4707,-0.5099,10.0028
2556,0.3923,-0.7845,9.6497
2576,0.4315,-0.7061,9.7674
2596,0.2746,-0.9022,10.0812
2616,0.3530,-0.5492,9.4144
2636,0.2354,-0.5492,10.0812
2656,0.3923,-0.9022,9.8459
2676,0.3530,-0.4315,9.6890
2696,0.3138,-0.6669,10.1205
2716,0.3923,-0.9414,9.5321
2736,0.2354,-0.5884,9.9636
2756,0.3530,-0.6669,9.8459
2776,0.3138,-0.5492,9.6497
2796,0.3923,-0.6669,10.1597
2816,0.3923,-0.8238,9.6890
2836,0.3138,-0.4315,9.7282
2856,0.3138,-0.7845,9.9243
2876,0.2746,-0.7453,9.4928
2896,0.3530,-0.5884,10.1205
2916,0.3530,-0.7453,9.7282
2936,0.3138,-0.5492,9.8067
2956,0.4707,-0.8630,9.9636
2976,0.3530,-0.7453,9.4536
2996,0.3530,-0.5099,9.9636
3016,0.3138,-0.8630,9.8851
3036,0.3138,-0.5492,9.6890
3056,0.3530,-0.5492,10.0028
3076,0.3530,-0.7453,9.5713
3096,0.3923,-0.7061,9.8851
3116,0.3530,-0.8630,9.9243
3136,0.4315,-0.6276,9.6105
3156,0.2354,-0.6669,10.0812
3176,0.3530,-0.7845,9.6105
3196,0.3138,-0.4315,9.8067
3216,0.3530,-0.7061,10.1597
3236,0.4707,-0.8238,9.6497
3256,0.2746,-0.7061,10.0420
3276,0.4315,-0.7845,9.6497
3296,0.2354,-0.4707,9.6497
3316,0.3138,-0.7453,10.0812
3336,0.3923,-0.8238,9.5713
3356,0.3530,-0.5884,9.8459
3376,0.4707,-0.7845,9.8851
3396,0.2746,-0.7453,9.6105
3416,0.2746,-0.5492,10.0420
3436,0.3138,-0.7061,9.6105
3456,0.3138,-0.6276,9.8459
3476,0.3530,-0.8238,9.9243
3496,0.3530,-0.7453,9.5321
3516,0.3138,-0.6669,9.9636
3536,0.3138,-0.9022,9.8459
3556,0.3530,-0.5884,9.6497
3576,0.3530,-0.5884,10.1989
3596,0.3530,-0.7061,9.5713
3616,0.3923,-0.6669,9.8459
3636,0.3923,-0.8630,9.7674
